year;agriculture
1852;1640
1853;1900
1854;1800
1855;1820
1856;1640
1857;1540
1858;1700
1859;1800
1860;1620
1861;1560
1862;1820
1863;1900
1864;1880
1865;1920
1866;1820
1867;1900
1868;1960
1869;1900
1870;1940
1871;1820
1872;1920
1873;1840
1874;1920
1875;2020
1876;1840
1877;1760
1878;1800
1879;1820
1880;1960
1881;1940
1882;1860
1883;1820
1884;1880
1885;1800
1886;1780
1887;1840
1888;1900
1889;1840
1890;1900
1891;1820
1892;1900
1893;1960
1894;1940
1895;1860
1896;1800
1897;1900
1898;1940
1899;1820
1900;1860
1901;1820
1902;1860
1903;1940
1904;1880
1905;1800
1906;1820
1907;1880
1908;1820
1909;1940
1910;1900
1911;1880
1912;1860
1913;1820
1914;1780
1915;1840
1916;1700
1917;1820
1918;1700
1919;1760
1920;1820
1921;1900
1922;1880
1923;1920
1924;1860
1925;1800
