date;unemp
1948-01-01;204
1948-02-01;190
1948-03-01;183
1948-04-01;183
1948-05-01;166
1948-06-01;165
1948-07-01;157
1948-08-01;176
1948-09-01;176
1948-10-01;178
1948-11-01;187
1948-12-01;203
1949-01-01;214
1949-02-01;215
1949-03-01;213
1949-04-01;226
1949-05-01;213
1949-06-01;213
1949-07-01;221
1949-08-01;222
1949-09-01;235
1949-10-01;231
1949-11-01;247
1949-12-01;260
1950-01-01;268
1950-02-01;261
1950-03-01;240
1950-04-01;227
1950-05-01;213
1950-06-01;214
1950-07-01;213
1950-08-01;221
1950-09-01;209
1950-10-01;210
1950-11-01;218
1950-12-01;219
1951-01-01;195
1951-02-01;187
1951-03-01;178
1951-04-01;172
1951-05-01;162
1951-06-01;148
1951-07-01;143
1951-08-01;168
1951-09-01;163
1951-10-01;162
1951-11-01;169
1951-12-01;178
1952-01-01;185
1952-02-01;186
1952-03-01;179
1952-04-01;175
1952-05-01;164
1952-06-01;152
1952-07-01;148
1952-08-01;168
1952-09-01;163
1952-10-01;162
1952-11-01;169
1952-12-01;178
1953-01-01;183
1953-02-01;177
1953-03-01;166
1953-04-01;163
1953-05-01;154
1953-06-01;148
1953-07-01;149
1953-08-01;175
1953-09-01;176
1953-10-01;180
1953-11-01;196
1953-12-01;211
1954-01-01;226
1954-02-01;228
1954-03-01;226
1954-04-01;228
1954-05-01;222
1954-06-01;221
1954-07-01;225
1954-08-01;236
1954-09-01;237
1954-10-01;240
1954-11-01;254
1954-12-01;267
1955-01-01;262
1955-02-01;252
1955-03-01;234
1955-04-01;222
1955-05-01;209
1955-06-01;206
1955-07-01;205
1955-08-01;218
1955-09-01;212
1955-10-01;205
1955-11-01;213
1955-12-01;221
1956-01-01;218
1956-02-01;215
1956-03-01;200
1956-04-01;193
1956-05-01;183
1956-06-01;172
1956-07-01;174
1956-08-01;196
1956-09-01;194
1956-10-01;189
1956-11-01;200
1956-12-01;214
1957-01-01;218
1957-02-01;212
1957-03-01;201
1957-04-01;193
1957-05-01;182
1957-06-01;173
1957-07-01;174
1957-08-01;201
1957-09-01;200
1957-10-01;200
1957-11-01;215
1957-12-01;232
1958-01-01;256
1958-02-01;266
1958-03-01;268
1958-04-01;278
1958-05-01;267
1958-06-01;265
1958-07-01;270
1958-08-01;282
1958-09-01;279
1958-10-01;275
1958-11-01;289
1958-12-01;296
1959-01-01;298
1959-02-01;292
1959-03-01;274
1959-04-01;254
1959-05-01;239
1959-06-01;231
1959-07-01;238
1959-08-01;251
1959-09-01;247
1959-10-01;245
1959-11-01;253
1959-12-01;262
1960-01-01;263
1960-02-01;263
1960-03-01;251
1960-04-01;244
1960-05-01;232
1960-06-01;223
1960-07-01;228
1960-08-01;244
1960-09-01;242
1960-10-01;238
1960-11-01;252
1960-12-01;268
1961-01-01;286
1961-02-01;292
1961-03-01;290
1961-04-01;292
1961-05-01;282
1961-06-01;279
1961-07-01;285
1961-08-01;296
1961-09-01;295
1961-10-01;290
1961-11-01;299
1961-12-01;308
1962-01-01;302
1962-02-01;294
1962-03-01;277
1962-04-01;264
1962-05-01;252
1962-06-01;245
1962-07-01;255
1962-08-01;269
1962-09-01;263
1962-10-01;257
1962-11-01;266
1962-12-01;274
1963-01-01;283
1963-02-01;282
1963-03-01;274
1963-04-01;270
1963-05-01;261
1963-06-01;259
1963-07-01;271
1963-08-01;290
1963-09-01;283
1963-10-01;279
1963-11-01;292
1963-12-01;306
1964-01-01;302
1964-02-01;298
1964-03-01;280
1964-04-01;270
1964-05-01;260
1964-06-01;253
1964-07-01;264
1964-08-01;280
1964-09-01;272
1964-10-01;264
1964-11-01;277
1964-12-01;288
1965-01-01;284
1965-02-01;278
1965-03-01;261
1965-04-01;249
1965-05-01;238
1965-06-01;231
1965-07-01;247
1965-08-01;259
1965-09-01;252
1965-10-01;246
1965-11-01;256
1965-12-01;267
1966-01-01;259
1966-02-01;254
1966-03-01;239
1966-04-01;225
1966-05-01;213
1966-06-01;200
1966-07-01;215
1966-08-01;225
1966-09-01;219
1966-10-01;212
1966-11-01;224
1966-12-01;237
1967-01-01;243
1967-02-01;241
1967-03-01;231
1967-04-01;226
1967-05-01;217
1967-06-01;215
1967-07-01;232
1967-08-01;255
1967-09-01;252
1967-10-01;253
1967-11-01;272
1967-12-01;292
1968-01-01;293
1968-02-01;288
1968-03-01;273
1968-04-01;261
1968-05-01;251
1968-06-01;244
1968-07-01;261
1968-08-01;275
1968-09-01;268
1968-10-01;263
1968-11-01;277
1968-12-01;289
1969-01-01;284
1969-02-01;280
1969-03-01;264
1969-04-01;251
1969-05-01;241
1969-06-01;232
1969-07-01;249
1969-08-01;258
1969-09-01;252
1969-10-01;246
1969-11-01;260
1969-12-01;274
1970-01-01;283
1970-02-01;285
1970-03-01;280
1970-04-01;281
1970-05-01;277
1970-06-01;277
1970-07-01;295
1970-08-01;318
1970-09-01;322
1970-10-01;328
1970-11-01;355
1970-12-01;381
1971-01-01;395
1971-02-01;400
1971-03-01;393
1971-04-01;389
1971-05-01;376
1971-06-01;364
1971-07-01;378
1971-08-01;393
1971-09-01;384
1971-10-01;376
1971-11-01;393
1971-12-01;408
1972-01-01;406
1972-02-01;400
1972-03-01;381
1972-04-01;363
1972-05-01;347
1972-06-01;339
1972-07-01;358
1972-08-01;370
1972-09-01;360
1972-10-01;352
1972-11-01;365
1972-12-01;376
1973-01-01;368
1973-02-01;363
1973-03-01;345
1973-04-01;328
1973-05-01;314
1973-06-01;302
1973-07-01;319
1973-08-01;326
1973-09-01;318
1973-10-01;313
1973-11-01;327
1973-12-01;342
1974-01-01;347
1974-02-01;348
1974-03-01;339
1974-04-01;337
1974-05-01;330
1974-06-01;333
1974-07-01;355
1974-08-01;375
1974-09-01;380
1974-10-01;392
1974-11-01;427
1974-12-01;462
1975-01-01;493
1975-02-01;505
1975-03-01;503
1975-04-01;503
1975-05-01;494
1975-06-01;496
1975-07-01;520
1975-08-01;544
1975-09-01;543
1975-10-01;543
1975-11-01;566
1975-12-01;583
1976-01-01;583
1976-02-01;575
1976-03-01;553
1976-04-01;530
1976-05-01;511
1976-06-01;498
1976-07-01;519
1976-08-01;533
1976-09-01;523
1976-10-01;513
